room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
57906,276506,Private room,Newham,Canning Town North,51,5.0,2,1.0,88.0,2,51.518093,0.011112,2015-01-17 23:39:31.291
59656,196620,Private room,Westminster,Little Venice,116,5.0,2,1.0,103.0,1,51.523327,-0.184424,2015-01-17 20:39:44.792
60202,289870,Private room,Haringey,Hornsey,16,4.5,1,1.0,47.0,1,51.58727,-0.118678,2015-01-17 23:07:25.138
60221,181028,Private room,Hounslow,Turnham Green,4,5.0,2,1.0,112.0,2,51.492014,-0.256128,2015-01-18 00:23:17.632
60222,289910,Private room,Barnet,Burnt Oak,1,4.0,2,1.0,66.0,2,51.599241,-0.252944,2015-01-18 00:28:02.525
60223,289965,Private room,Ealing,Northfield,10,4.5,2,1.0,75.0,2,51.496214,-0.311609,2015-01-18 00:32:22.078
60355,290689,Private room,Newham,Custom House,17,5.0,2,1.0,93.0,1,51.51268,0.026953,2015-01-18 09:45:45.631
60395,290867,Private room,Ealing,Northfield,76,5.0,2,1.0,43.0,4,51.495402,-0.310816,2015-01-18 12:42:31.244
60414,291001,Private room,Westminster,Hyde Park,273,5.0,2,1.0,103.0,1,51.516444,-0.172286,2015-01-18 14:08:20.371
60734,292983,Private room,Waltham Forest,Leytonstone,69,4.5,6,1.0,75.0,1,51.573296,0.010188,2015-01-18 00:28:09.571
60751,189764,Private room,Islington,Caledonian,20,4.5,1,1.0,112.0,3,51.53177,-0.117594,2015-01-18 01:44:05.258
61156,295707,Entire home/apt,Haringey,Tottenham Green,120,4.5,2,1.0,84.0,3,51.587983,-0.078321,2015-01-18 12:09:04.054
61158,295719,Entire home/apt,Camden,Gospel Oak,3,4.5,4,2.0,327.0,7,51.554271,-0.154044,2015-01-18 12:18:16.312
61535,297981,Entire home/apt,Westminster,Hyde Park,129,5.0,2,1.0,243.0,2,51.514334,-0.162913,2015-01-18 02:54:10.208
61692,299008,Shared room,Southwark,South Bermondsey,0,,2,1.0,165.0,1,51.488807,-0.065494,2015-01-18 13:58:57.995
62218,302657,Entire home/apt,Camden,Gospel Oak,54,4.5,4,1.0,234.0,5,51.55534,-0.162026,2015-01-17 20:49:39.212
62259,302904,Entire home/apt,Hackney,Lea Bridge,65,4.0,7,1.0,131.0,1,51.565086,-0.050261,2015-01-17 23:43:59.986
62260,302904,Private room,Hackney,Lea Bridge,33,4.5,3,1.0,56.0,1,51.565312,-0.047701,2015-01-17 23:47:36.875
62957,53348,Private room,Camden,Haverstock,128,4.0,2,1.0,45.0,1,51.549813,-0.151761,2015-01-18 12:52:08.825
63051,307524,Entire home/apt,Hackney,Hoxton West,35,5.0,2,1.0,215.0,4,51.531435,-0.092386,2015-01-18 01:26:08.241
63470,199626,Entire home/apt,Barnet,High Barnet,1,4.0,2,1.0,168.0,7,51.654283,-0.180932,2015-01-18 12:56:38.329
63679,246449,Private room,Kensington and Chelsea,Abingdon,200,5.0,2,1.0,131.0,1,51.494907,-0.193094,2015-01-18 09:27:53.065
63864,54987,Entire home/apt,Tower Hamlets,Canary Wharf,4,4.0,3,1.0,297.0,3,51.497259,-0.020223,2015-01-18 04:35:47.888
63948,216660,Private room,Hammersmith and Fulham,Hammersmith Broadway,3,5.0,2,1.0,146.0,1,51.494022,-0.22724,2015-01-18 10:25:33.342
64408,191154,Entire home/apt,Greenwich,Glyndon,60,4.5,8,2.0,168.0,3,51.496454,0.078212,2015-01-18 06:49:06.486
64429,193586,Private room,Kensington and Chelsea,Golborne,80,4.0,2,1.0,112.0,1,51.520535,-0.209681,2015-01-18 08:14:03.633
64988,317695,Private room,Hackney,Dalston,58,5.0,2,1.0,140.0,2,51.544311,-0.066095,2015-01-18 11:36:20.920
65638,320901,Entire home/apt,Southwark,Newington,107,4.5,2,1.0,159.0,5,51.486241,-0.09624,2015-01-18 03:17:34.306
65908,322341,Private room,Lambeth,Brixton Hill,0,,2,1.0,150.0,2,51.459705,-0.120078,2015-01-18 04:16:23.701
66566,163836,Private room,Islington,Tollington,65,5.0,2,1.0,36.0,3,51.566851,-0.112618,2015-01-17 20:28:14.047
66772,216660,Private room,Hammersmith and Fulham,Hammersmith Broadway,8,4.5,2,1.0,116.0,1,51.49404,-0.227378,2015-01-18 10:58:28.927
